iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,control_active,control_armed,target_x_m,target_y_m,target_z_m,target_yaw_deg,limit_hover_throttle,limit_min_throttle,limit_max_throttle,limit_max_tilt_deg,limit_max_yaw_rate_deg,pid_xyPos_kp,pid_xyPos_ki,pid_xyPos_kd,pid_zPos_kp,pid_zPos_ki,pid_zPos_kd,pid_yawPos_kp,pid_yawPos_ki,pid_yawPos_kd,pid_xyVel_kp,pid_xyVel_ki,pid_xyVel_kd,pid_zVel_kp,pid_zVel_ki,pid_zVel_kd,pid_roll_kp,pid_roll_ki,pid_roll_kd,pid_pitch_kp,pid_pitch_ki,pid_pitch_kd,pid_yawRate_kp,pid_yawRate_ki,pid_yawRate_kd,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-27T19:15:21.746,0.018,1,0.10,0.10,0.00,0.00,1,-0.0114,0.1460,0.3827,0.0000,0.0000,0.0000,11.36,0.00,56.24,65.60,1,1,1.00000,1.00000,1.00000,1.00000,3,3,1,24.20185,0.00225,1.03588,0.0114,-0.1460,0.0173,0.0000,0.0000,0.0000,-11.36,-8.92,1.40,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,1,228,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.759,0.031,1,0.10,0.10,0.00,0.00,1,-0.0113,0.1459,0.3827,0.0000,0.0000,0.0000,11.44,-6.24,58.96,60.87,2,2,1.00000,1.00000,1.00000,1.00000,3,3,1,24.28067,0.00227,1.03575,0.0113,-0.1459,0.0173,0.0000,0.0000,0.0000,-11.44,-9.02,1.39,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,2,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.778,0.050,1,0.10,0.10,0.00,0.00,1,-0.0113,0.1458,0.3828,0.0000,0.0000,0.0000,11.42,1.04,81.71,58.21,3,3,1.00000,1.00000,1.00000,1.00000,3,3,1,24.22515,0.00230,1.03853,0.0113,-0.1458,0.0172,0.0000,0.0000,0.0000,-11.42,-9.03,1.44,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,3,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.792,0.065,1,0.10,0.10,0.00,0.00,1,-0.0111,0.1458,0.3826,0.0000,0.0000,0.0000,11.41,0.66,52.89,59.16,4,4,1.00000,1.00000,1.00000,1.00000,3,3,1,24.28310,0.00223,1.03596,0.0111,-0.1458,0.0174,0.0000,0.0000,0.0000,-11.41,-8.81,1.48,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,4,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.808,0.080,1,0.10,0.10,0.00,0.00,1,-0.0112,0.1458,0.3827,0.0000,0.0000,0.0000,11.42,-0.65,75.51,160.93,5,5,1.00000,1.00000,1.00000,1.00000,3,3,1,24.27883,0.00227,1.03614,0.0112,-0.1458,0.0173,0.0000,0.0000,0.0000,-11.42,-8.83,1.44,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,5,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.823,0.096,1,0.10,0.10,0.00,0.00,1,-0.0112,0.1458,0.3829,0.0000,0.0000,0.0000,11.37,3.17,65.08,37.64,6,6,1.00000,1.00000,1.00000,1.00000,3,3,1,24.29021,0.00240,1.03861,0.0112,-0.1458,0.0171,0.0000,0.0000,0.0000,-11.37,-8.94,1.39,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,6,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.839,0.111,1,0.10,0.10,0.00,0.00,1,-0.0112,0.1458,0.3828,0.0000,0.0000,0.0000,11.35,1.27,63.33,218.06,7,7,1.00000,1.00000,1.00000,1.00000,3,3,1,24.24354,0.00233,1.03834,0.0112,-0.1458,0.0172,0.0000,0.0000,0.0000,-11.35,-8.96,1.48,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,7,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.860,0.132,1,0.10,0.10,0.00,0.00,1,-0.0111,0.1458,0.3826,0.0000,0.0000,0.0000,11.34,0.51,63.30,34.75,8,8,1.00000,1.00000,1.00000,1.00000,3,3,1,24.26031,0.00222,1.03515,0.0111,-0.1458,0.0174,0.0000,0.0000,0.0000,-11.34,-8.77,1.57,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,8,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.876,0.148,1,0.10,0.10,0.00,0.00,1,-0.0113,0.1460,0.3827,0.0000,0.0000,0.0000,11.34,0.00,45.72,58.79,9,9,1.00000,1.00000,1.00000,1.00000,3,3,1,24.25887,0.00238,1.03480,0.0113,-0.1460,0.0173,0.0000,0.0000,0.0000,-11.34,-9.14,1.52,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,9,229,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T19:15:21.892,0.164,1,0.10,0.10,0.00,0.00,1,-0.0113,0.1460,0.3828,0.0000,0.0000,0.0000,11.40,-3.72,68.53,154.45,10,10,1.00000,1.00000,1.00000,1.00000,3,3,1,24.28914,0.00233,1.03689,0.0113,-0.1460,0.0172,0.0000,0.0000,0.0000,-11.40,-9.20,1.37,1,1,0.0000,0.0000,0.4000,0.00,0.8200,0.3500,1.0000,6.00,180.00,5.000000,0.050000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,10,227,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
