iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-20T19:18:01.702,0.017,1,0.13,-0.74,0.05,-0.04,1,0.0087,0.0809,0.2554,0.0000,0.0000,0.0000,16.15,-1.13,54.96,59.72,1,1,1.00000,1.00000,1.00000,1.00000,3,3,1,24.58894,0.00198,1.05686,-0.0087,-0.0809,0.0946,0.0000,0.0000,0.0000,-16.15,-12.99,178.74,1,1,1,1,223,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.719,0.034,1,0.13,-0.75,-0.01,0.05,1,0.0087,0.0810,0.2553,0.0000,0.0000,0.0000,16.20,-2.87,63.57,56.15,2,2,1.00000,1.00000,1.00000,1.00000,3,3,1,24.55828,0.00189,1.05573,-0.0087,-0.0810,0.0947,0.0000,0.0000,0.0000,-16.20,-12.92,178.86,1,1,1,2,222,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.733,0.048,1,0.13,-0.75,-0.01,0.05,1,0.0088,0.0810,0.2555,0.0000,0.0000,0.0000,16.18,1.32,56.85,64.38,3,3,1.00000,1.00000,1.00000,1.00000,3,3,1,24.55263,0.00196,1.05724,-0.0088,-0.0810,0.0945,0.0000,0.0000,0.0000,-16.18,-13.05,178.91,1,1,1,3,223,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.751,0.066,1,0.13,-0.75,-0.01,0.05,1,0.0087,0.0810,0.2554,0.0000,0.0000,0.0000,16.14,2.41,71.43,60.09,4,4,1.00000,1.00000,1.00000,1.00000,3,3,1,24.57212,0.00195,1.05576,-0.0087,-0.0810,0.0946,0.0000,0.0000,0.0000,-16.14,-13.00,178.85,1,1,1,4,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.767,0.083,1,0.14,-0.75,-0.68,-0.24,1,0.0087,0.0809,0.2556,0.0000,0.0000,0.0000,16.16,-1.13,56.82,59.83,5,5,1.00000,1.00000,1.00000,1.00000,3,3,1,24.57565,0.00197,1.05851,-0.0087,-0.0809,0.0944,0.0000,0.0000,0.0000,-16.16,-13.11,178.82,1,1,1,5,223,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.784,0.099,1,0.14,-0.75,-0.68,-0.24,1,0.0088,0.0810,0.2557,0.0000,0.0000,0.0000,16.16,0.00,55.49,59.37,6,6,1.00000,1.00000,1.00000,1.00000,3,3,1,24.55741,0.00197,1.05497,-0.0088,-0.0810,0.0943,0.0000,0.0000,0.0000,-16.16,-13.24,179.01,1,1,1,6,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.801,0.116,1,0.14,-0.75,-0.68,-0.24,1,0.0086,0.0809,0.2556,0.0000,0.0000,0.0000,16.19,-1.71,65.06,59.75,7,7,1.00000,1.00000,1.00000,1.00000,3,3,1,24.53519,0.00196,1.05666,-0.0086,-0.0809,0.0944,0.0000,0.0000,0.0000,-16.19,-12.95,178.90,1,1,1,7,222,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.814,0.129,1,0.16,-0.75,-4.56,-2.30,1,0.0085,0.0809,0.2553,0.0000,0.0000,0.0000,16.17,1.53,55.62,60.96,8,8,1.00000,1.00000,1.00000,1.00000,3,3,1,24.55991,0.00191,1.05684,-0.0085,-0.0809,0.0947,0.0000,0.0000,0.0000,-16.17,-12.63,178.76,1,1,1,8,223,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.834,0.149,1,0.16,-0.75,-4.56,-2.30,1,0.0087,0.0809,0.2557,0.0000,0.0000,0.0000,16.23,-3.16,93.98,60.57,9,9,1.00000,1.00000,1.00000,1.00000,3,3,1,24.56761,0.00202,1.05656,-0.0087,-0.0809,0.0943,0.0000,0.0000,0.0000,-16.23,-13.01,178.87,1,1,1,9,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:18:01.847,0.162,1,0.16,-0.75,-4.56,-2.30,1,0.0087,0.0809,0.2555,0.0000,0.0000,0.0000,16.22,0.70,47.62,63.82,10,10,1.00000,1.00000,1.00000,1.00000,3,3,1,24.55468,0.00192,1.05841,-0.0087,-0.0809,0.0945,0.0000,0.0000,0.0000,-16.22,-13.06,178.82,1,1,1,10,223,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
