iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,battery_ready,battery_voltage_v,battery_cell_voltage_v,battery_current_a,battery_capacity_mah,battery_remaining_percent,battery_hover_comp_enabled,battery_hover_filtered_voltage_v,battery_hover_adjusted_throttle,battery_hover_correction,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam3_full_detection_rate,cam1_leds,cam2_leds,cam3_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,control_active,control_armed,target_x_m,target_y_m,target_z_m,target_yaw_deg,limit_hover_throttle,limit_min_throttle,limit_max_throttle,limit_max_tilt_deg,limit_max_yaw_rate_deg,pid_xyPos_kp,pid_xyPos_ki,pid_xyPos_kd,pid_zPos_kp,pid_zPos_ki,pid_zPos_kd,pid_yawPos_kp,pid_yawPos_ki,pid_yawPos_kd,pid_xyVel_kp,pid_xyVel_ki,pid_xyVel_kd,pid_zVel_kp,pid_zVel_ki,pid_zVel_kd,pid_roll_kp,pid_roll_ki,pid_roll_kd,pid_pitch_kp,pid_pitch_ki,pid_pitch_kd,pid_yawRate_kp,pid_yawRate_ki,pid_yawRate_kd,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-28T17:44:38.672,0.017,1,0.19,1.09,0.00,0.00,1,0.0375,-0.0001,0.2689,0.0000,0.0000,0.0000,6.80,-3.89,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,54.02,58.74,1,1,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.93143,0.00386,1.04181,-0.0375,0.0001,0.0811,0.0000,0.0000,0.0000,-96.80,0.75,-169.41,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,1,227,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.687,0.032,1,0.19,1.09,0.00,0.00,1,0.0375,-0.0002,0.2691,0.0000,0.0000,0.0000,6.77,1.92,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,61.87,61.30,2,2,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.98350,0.00385,1.04146,-0.0375,0.0002,0.0809,0.0000,0.0000,0.0000,-96.77,0.68,-169.44,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,2,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.705,0.050,1,0.19,1.09,0.00,0.00,1,0.0374,-0.0002,0.2691,0.0000,0.0000,0.0000,6.86,-5.06,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,69.44,56.31,3,3,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.98428,0.00391,1.04133,-0.0374,0.0002,0.0809,0.0000,0.0000,0.0000,-96.86,0.57,-169.47,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,3,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.720,0.065,1,0.19,1.09,0.00,0.00,1,0.0376,-0.0001,0.2690,0.0000,0.0000,0.0000,6.78,5.09,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,50.56,62.33,4,4,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.97530,0.00387,1.04117,-0.0376,0.0001,0.0810,0.0000,0.0000,0.0000,-96.78,0.73,-169.39,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,4,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.729,0.074,1,0.19,1.09,0.00,0.00,1,0.0375,-0.0001,0.2691,0.0000,0.0000,0.0000,6.70,9.13,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,66.21,72.63,5,5,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.98637,0.00380,1.03997,-0.0375,0.0001,0.0809,0.0000,0.0000,0.0000,-96.70,0.64,-169.54,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,5,227,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.756,0.101,1,0.19,1.09,0.00,0.00,1,0.0376,0.0000,0.2690,0.0000,0.0000,0.0000,6.77,-2.71,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,135.43,49.29,6,6,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.94665,0.00392,1.04059,-0.0376,-0.0000,0.0810,0.0000,0.0000,0.0000,-96.77,0.76,-169.44,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,6,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.773,0.118,1,0.19,1.09,0.00,0.00,1,0.0376,0.0001,0.2689,0.0000,0.0000,0.0000,6.74,1.67,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,34.69,61.53,7,7,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.99298,0.00382,1.04079,-0.0376,-0.0001,0.0811,0.0000,0.0000,0.0000,-96.74,0.83,-169.42,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,7,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.787,0.132,1,0.19,1.09,0.00,0.00,1,0.0375,-0.0001,0.2690,0.0000,0.0000,0.0000,6.76,-1.37,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,66.94,63.15,8,8,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.96109,0.00391,1.04124,-0.0375,0.0001,0.0810,0.0000,0.0000,0.0000,-96.76,0.71,-169.45,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,8,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.804,0.149,1,0.19,1.09,0.00,0.00,1,0.0375,0.0002,0.2688,0.0000,0.0000,0.0000,6.69,4.07,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,62.91,59.98,9,9,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.95870,0.00372,1.03890,-0.0375,-0.0002,0.0812,0.0000,0.0000,0.0000,-96.69,0.87,-169.47,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,9,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
2026-04-28T17:44:38.820,0.165,1,0.19,1.09,0.00,0.00,1,0.0375,-0.0001,0.2691,0.0000,0.0000,0.0000,6.68,0.64,1,3.900,3.900,0.900,55,59,0,0.000,0.7600,0.0000,62.88,58.03,10,10,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,21.95477,0.00384,1.04141,-0.0375,0.0001,0.0809,0.0000,0.0000,0.0000,-96.68,0.72,-169.54,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,10,228,3647,3647,3647,0,0,60.00,2935,3177,3564,0,0,2731,59597,501.00,0.00,2,914,0.0000,0.5000,0.5000,0.0000,0.5000
