iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s
2026-04-14T16:17:55.282,0.024,1,-0.00,-0.01,-7.91,10.68,1,-0.0053,0.0680,0.2896,0.0000,0.0000,0.0000,1.59,-0.42
2026-04-14T16:17:55.347,0.090,1,0.02,0.04,-7.46,9.84,1,-0.0054,0.0680,0.2896,0.0000,0.0000,0.0000,1.58,-1.48
2026-04-14T16:17:55.386,0.128,1,-0.07,0.04,-7.29,10.71,1,-0.0054,0.0680,0.2896,0.0000,0.0000,0.0000,1.57,0.24
2026-04-14T16:17:55.441,0.184,1,-0.13,-0.24,0.56,7.10,1,-0.0054,0.0681,0.2897,0.0000,0.0000,0.0000,1.71,-3.72
2026-04-14T16:17:55.494,0.236,1,-0.16,-0.08,-1.64,7.42,1,-0.0048,0.0679,0.2897,0.0000,0.0000,0.0000,2.85,-27.11
2026-04-14T16:17:55.546,0.289,1,-0.02,-0.09,-6.10,14.73,1,-0.0045,0.0682,0.2898,0.0000,0.0000,0.0000,4.05,-19.28
2026-04-14T16:17:55.591,0.334,1,-0.19,0.08,-15.32,9.80,1,-0.0044,0.0681,0.2898,0.0000,0.0000,0.0000,5.06,-23.66
2026-04-14T16:17:55.665,0.407,1,-0.28,0.00,-2.59,13.11,1,-0.0038,0.0683,0.2899,0.0000,0.0000,0.0000,7.83,-38.62
2026-04-14T16:17:55.712,0.454,1,0.08,0.12,11.37,7.98,1,-0.0031,0.0681,0.2900,0.0000,0.0000,0.0000,9.94,-53.89
2026-04-14T16:17:55.760,0.503,1,0.69,0.47,-0.31,16.12,1,-0.0021,0.0678,0.2892,-0.0127,0.0000,0.0000,11.91,-39.56
2026-04-14T16:17:55.810,0.553,1,0.93,0.12,22.89,5.31,1,-0.0004,0.0671,0.2878,-0.0202,0.0000,0.0135,14.48,-37.34
2026-04-14T16:17:55.863,0.605,1,3.13,-0.47,42.05,98.23,1,0.0023,0.0664,0.2855,-0.0300,0.0000,0.0233,16.88,-48.58
2026-04-14T16:17:55.913,0.656,1,2.90,2.91,-35.17,28.93,1,0.0069,0.0658,0.2820,-0.0499,0.0000,0.0387,20.22,-68.85
2026-04-14T16:17:55.981,0.724,1,-0.60,0.14,-61.90,-86.66,1,0.0172,0.0638,0.2771,-0.0913,0.0179,0.0507,24.52,-45.67
2026-04-14T16:17:56.029,0.771,1,-3.25,-5.54,-72.94,-124.11,1,0.0260,0.0614,0.2729,-0.1186,0.0277,0.0616,26.53,-45.38
2026-04-14T16:17:56.079,0.821,1,-4.70,-9.24,-51.50,-26.32,1,0.0354,0.0581,0.2686,-0.1419,0.0412,0.0699,28.61,-55.77
2026-04-14T16:17:56.124,0.866,1,-5.60,-5.59,-17.61,55.61,1,0.0437,0.0559,0.2619,-0.1508,0.0424,0.0923,30.65,-40.95
2026-04-14T16:17:56.223,0.965,1,-5.02,-1.04,0.51,98.56,1,0.0608,0.0450,0.2580,-0.1604,0.0787,0.0637,35.85,-64.98
2026-04-14T16:17:56.226,0.968,1,-2.75,3.05,62.89,61.55,1,0.0608,0.0450,0.2580,-0.1604,0.0787,0.0637,35.85,-64.98
2026-04-14T16:17:56.295,1.038,1,1.76,3.63,69.90,46.44,1,0.0708,0.0348,0.2576,-0.1496,0.1036,0.0390,39.83,-49.46
2026-04-14T16:17:56.348,1.091,1,4.46,4.44,50.79,42.99,1,0.0773,0.0270,0.2582,-0.1444,0.1187,0.0255,42.45,-43.84
2026-04-14T16:17:56.395,1.138,1,6.05,4.21,44.28,21.78,1,0.0828,0.0209,0.2589,-0.1396,0.1222,0.0155,43.69,-26.74
2026-04-14T16:17:56.448,1.190,1,5.90,3.37,-11.85,31.39,1,0.0952,0.0091,0.2605,-0.1752,0.1515,0.0000,47.54,-67.73
2026-04-14T16:17:56.495,1.238,1,4.37,4.60,15.64,71.83,1,0.1119,-0.0054,0.2688,-0.2344,0.1982,-0.0423,50.34,-64.71
2026-04-14T16:17:56.543,1.285,1,4.32,6.43,6.89,69.03,1,0.1279,-0.0145,0.2700,-0.2703,0.1925,-0.0279,52.60,-53.79
2026-04-14T16:17:56.617,1.359,1,2.70,6.22,-49.08,-3.13,1,0.1636,-0.0330,0.2796,-0.3734,0.2186,-0.0638,55.53,-29.73
2026-04-14T16:17:56.664,1.406,1,-1.56,0.95,-106.83,-130.29,1,0.2025,-0.0538,0.2958,-0.5123,0.2847,-0.1447,57.60,-38.65
2026-04-14T16:17:56.717,1.459,1,-7.85,-8.91,-175.99,-206.10,1,0.2420,-0.0708,0.3065,-0.6017,0.3018,-0.1611,59.06,-29.54
2026-04-14T16:17:56.766,1.508,1,-13.48,-16.78,-113.32,3.22,1,0.2835,-0.0865,0.3155,-0.6703,0.3041,-0.1611,60.29,-29.59
2026-04-14T16:17:56.815,1.558,1,-15.36,-5.48,-112.80,309.94,1,0.3272,-0.0991,0.3211,-0.7372,0.2965,-0.1546,62.20,-43.04
2026-04-14T16:17:56.861,1.604,1,-14.40,7.26,70.21,185.45,1,0.3717,-0.1061,0.3239,-0.8125,0.2613,-0.1362,64.03,-36.38
