iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s
2026-04-14T16:17:56.914,1.656,1,-4.11,9.48,194.53,-75.79,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:56.953,1.696,1,5.64,0.09,209.93,-190.86,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.021,1.763,1,13.75,-9.89,216.62,-239.73,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.056,1.799,1,6.75,-2.85,-335.35,477.31,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.122,1.865,1,-2.51,6.50,-206.28,3.78,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.171,1.914,1,0.00,0.00,0.00,0.00,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.218,1.960,1,-2.53,10.50,-9.44,9.86,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.273,2.015,1,-1.96,12.54,-5.08,11.83,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.322,2.064,1,-1.29,14.52,-7.24,10.04,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.371,2.113,1,-0.75,14.96,-7.00,8.97,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.420,2.162,1,-0.66,12.46,-8.46,10.71,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.520,2.263,1,-0.40,8.71,-7.76,11.43,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.571,2.313,1,-0.31,7.11,-7.56,10.59,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
2026-04-14T16:17:57.636,2.379,1,-0.25,5.76,-7.85,10.61,0,0.0000,0.0000,0.3500,0.0000,0.0000,0.0000,0.00,0.00
