iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,battery_ready,battery_voltage_v,battery_cell_voltage_v,battery_current_a,battery_capacity_mah,battery_remaining_percent,battery_hover_comp_enabled,battery_hover_filtered_voltage_v,battery_hover_adjusted_throttle,battery_hover_correction,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam3_full_detection_rate,cam1_leds,cam2_leds,cam3_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,control_active,control_armed,target_x_m,target_y_m,target_z_m,target_yaw_deg,limit_hover_throttle,limit_min_throttle,limit_max_throttle,limit_max_tilt_deg,limit_max_yaw_rate_deg,pid_xyPos_kp,pid_xyPos_ki,pid_xyPos_kd,pid_zPos_kp,pid_zPos_ki,pid_zPos_kd,pid_yawPos_kp,pid_yawPos_ki,pid_yawPos_kd,pid_xyVel_kp,pid_xyVel_ki,pid_xyVel_kd,pid_zVel_kp,pid_zVel_ki,pid_zVel_kd,pid_roll_kp,pid_roll_ki,pid_roll_kd,pid_pitch_kp,pid_pitch_ki,pid_pitch_kd,pid_yawRate_kp,pid_yawRate_ki,pid_yawRate_kd,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-28T17:30:04.866,0.017,1,0.40,1.40,0.00,0.00,1,0.0148,-0.0363,0.2627,0.0000,0.0000,0.0000,-83.84,-3.51,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,62.06,57.93,1,1,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.03182,0.02365,1.87944,-0.0148,0.0363,0.0873,0.0000,0.0000,0.0000,-6.16,2.93,125.21,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,1,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.885,0.036,1,0.40,1.40,0.00,0.00,1,0.0147,-0.0362,0.2627,0.0000,0.0000,0.0000,-83.78,-3.22,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,48.94,59.72,2,2,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.03588,0.02350,1.87578,-0.0147,0.0362,0.0873,0.0000,0.0000,0.0000,-6.22,2.91,125.21,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,2,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.902,0.053,1,0.40,1.40,0.00,0.00,1,0.0146,-0.0362,0.2624,0.0000,0.0000,0.0000,-83.71,-4.17,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,65.36,59.53,3,3,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,22.96484,0.02343,1.87730,-0.0146,0.0362,0.0876,0.0000,0.0000,0.0000,-6.29,3.01,125.23,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,3,228,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.918,0.069,1,0.40,1.40,0.00,0.00,1,0.0148,-0.0360,0.2624,0.0000,0.0000,0.0000,-83.80,5.53,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,56.27,60.74,4,4,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.01155,0.02354,1.87396,-0.0148,0.0360,0.0876,0.0000,0.0000,0.0000,-6.20,2.97,125.21,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,4,230,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.933,0.084,1,0.40,1.40,0.00,0.00,1,0.0148,-0.0360,0.2624,0.0000,0.0000,0.0000,-83.76,-2.66,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,57.87,58.27,5,5,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.00636,0.02346,1.87661,-0.0148,0.0360,0.0876,0.0000,0.0000,0.0000,-6.24,2.97,125.24,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,5,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.953,0.103,1,0.40,1.40,0.00,0.00,1,0.0147,-0.0361,0.2626,0.0000,0.0000,0.0000,-83.71,-3.10,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,76.85,60.16,6,6,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.01830,0.02331,1.87260,-0.0147,0.0361,0.0874,0.0000,0.0000,0.0000,-6.29,2.97,125.24,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,6,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.963,0.114,1,0.40,1.40,0.00,0.00,1,0.0148,-0.0360,0.2625,0.0000,0.0000,0.0000,-83.76,3.63,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,50.96,63.93,7,7,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.00123,0.02354,1.87342,-0.0148,0.0360,0.0875,0.0000,0.0000,0.0000,-6.24,2.96,125.21,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,7,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:04.985,0.135,1,0.40,1.40,0.00,0.00,1,0.0149,-0.0361,0.2626,0.0000,0.0000,0.0000,-83.77,0.49,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,97.52,60.23,8,8,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.03157,0.02354,1.87471,-0.0149,0.0361,0.0874,0.0000,0.0000,0.0000,-6.23,2.98,125.22,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,8,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:05.001,0.152,1,0.40,1.40,0.00,0.00,1,0.0149,-0.0362,0.2625,0.0000,0.0000,0.0000,-83.83,3.34,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,44.00,57.38,9,9,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,22.96892,0.02348,1.87763,-0.0149,0.0362,0.0875,0.0000,0.0000,0.0000,-6.17,2.94,125.22,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,9,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-28T17:30:05.018,0.168,1,0.40,1.40,0.00,0.00,1,0.0148,-0.0361,0.2627,0.0000,0.0000,0.0000,-83.78,-3.07,1,4.200,4.200,0.888,0,-1,0,0.000,0.7600,0.0000,56.72,61.99,10,10,1.00000,1.00000,1.00000,1.00000,0.00000,3,3,0,1,23.03025,0.02331,1.87356,-0.0148,0.0361,0.0873,0.0000,0.0000,0.0000,-6.22,2.93,125.21,1,1,0.0000,0.0000,0.3500,-90.00,0.7600,0.4200,1.0000,8.00,180.00,10.000000,0.250000,0.000000,1.200000,0.000000,0.000000,1.200000,0.000000,0.000000,0.900000,0.000000,0.000000,0.850000,0.040000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,10,231,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
