iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-20T19:14:57.553,0.015,1,0.04,-0.73,-0.36,-0.06,1,-0.0040,0.0763,0.2529,0.0000,0.0000,0.0000,-3.54,-0.60,59.10,61.92,1,1,1.00000,1.00000,1.00000,1.00000,3,3,1,24.13760,0.00240,1.07193,0.0040,-0.0763,0.0971,0.0000,0.0000,0.0000,3.54,-12.41,175.10,1,1,1,1,219,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.569,0.031,1,0.04,-0.73,-0.36,-0.06,1,-0.0040,0.0764,0.2528,0.0000,0.0000,0.0000,-3.53,-0.63,66.12,58.26,2,2,1.00000,1.00000,1.00000,1.00000,3,3,1,24.15079,0.00245,1.07184,0.0040,-0.0764,0.0972,0.0000,0.0000,0.0000,3.53,-12.60,175.13,1,1,1,2,219,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.592,0.054,1,0.04,-0.73,-0.36,-0.06,1,-0.0040,0.0765,0.2529,0.0000,0.0000,0.0000,-3.51,-0.86,69.01,56.94,3,3,1.00000,1.00000,1.00000,1.00000,3,3,1,24.14047,0.00246,1.06958,0.0040,-0.0765,0.0971,0.0000,0.0000,0.0000,3.51,-12.77,175.36,1,1,1,3,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.601,0.064,1,0.04,-0.73,-0.36,-0.06,1,-0.0039,0.0763,0.2529,0.0000,0.0000,0.0000,-3.50,-1.05,39.28,61.27,4,4,1.00000,1.00000,1.00000,1.00000,3,3,1,24.14354,0.00249,1.07273,0.0039,-0.0763,0.0971,0.0000,0.0000,0.0000,3.50,-12.86,175.23,1,1,1,4,219,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.622,0.084,1,0.04,-0.73,-0.36,-0.06,1,-0.0040,0.0764,0.2529,0.0000,0.0000,0.0000,-3.54,2.07,134.74,58.69,5,5,1.00000,1.00000,1.00000,1.00000,3,3,1,24.13182,0.00237,1.06979,0.0040,-0.0764,0.0971,0.0000,0.0000,0.0000,3.54,-12.65,175.34,1,1,1,5,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.638,0.100,1,0.04,-0.73,-0.36,-0.06,1,-0.0039,0.0763,0.2528,0.0000,0.0000,0.0000,-3.52,-1.25,46.92,61.46,6,6,1.00000,1.00000,1.00000,1.00000,3,3,1,24.16017,0.00248,1.07212,0.0039,-0.0763,0.0972,0.0000,0.0000,0.0000,3.52,-12.70,175.28,1,1,1,6,219,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.654,0.116,1,0.04,-0.73,-0.36,-0.06,1,-0.0041,0.0763,0.2528,0.0000,0.0000,0.0000,-3.53,0.57,62.42,59.60,7,7,1.00000,1.00000,1.00000,1.00000,3,3,1,24.16745,0.00239,1.07192,0.0041,-0.0763,0.0972,0.0000,0.0000,0.0000,3.53,-12.53,175.21,1,1,1,7,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.672,0.134,1,0.04,-0.73,-0.36,-0.06,1,-0.0040,0.0763,0.2528,0.0000,0.0000,0.0000,-3.57,2.41,64.91,60.32,8,8,1.00000,1.00000,1.00000,1.00000,3,3,1,24.12718,0.00254,1.07334,0.0040,-0.0763,0.0972,0.0000,0.0000,0.0000,3.57,-12.59,175.01,1,1,1,8,217,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.687,0.149,1,-0.03,-0.79,-1.58,0.22,1,-0.0040,0.0764,0.2528,0.0000,0.0000,0.0000,-3.51,-3.72,53.59,62.12,9,9,1.00000,1.00000,1.00000,1.00000,3,3,1,24.15658,0.00243,1.07022,0.0040,-0.0764,0.0972,0.0000,0.0000,0.0000,3.51,-12.62,175.18,1,1,1,9,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-20T19:14:57.704,0.166,1,-0.03,-0.79,-1.58,0.22,1,-0.0039,0.0763,0.2528,0.0000,0.0000,0.0000,-3.54,1.88,71.26,61.32,10,10,1.00000,1.00000,1.00000,1.00000,3,3,1,24.16360,0.00249,1.07413,0.0039,-0.0763,0.0972,0.0000,0.0000,0.0000,3.54,-12.73,175.08,1,1,1,10,220,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
