iso_time,elapsed_s,imu_ready,imu_pitch_deg,imu_roll_deg,imu_pitch_rate_deg_s,imu_roll_rate_deg_s,mocap_valid,mocap_x_error_m,mocap_y_error_m,mocap_z_error_m,mocap_vx_m_s,mocap_vy_m_s,mocap_vz_m_s,mocap_yaw_error_deg,mocap_yaw_rate_deg_s,backend_loop_hz,tracking_loop_hz,frames_processed,valid_pose_frames,pose_success_rate,full_marker_detection_rate,cam1_full_detection_rate,cam2_full_detection_rate,cam1_leds,cam2_leds,spatial_data_valid,mapping_error_px,model_fit_error_m,scale_factor,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,yaw_deg,pitch_deg,roll_deg,control_active,control_armed,target_x_m,target_y_m,target_z_m,target_yaw_deg,limit_hover_throttle,limit_min_throttle,limit_max_throttle,limit_max_tilt_deg,limit_max_yaw_rate_deg,pid_xyPos_kp,pid_xyPos_ki,pid_xyPos_kd,pid_zPos_kp,pid_zPos_ki,pid_zPos_kd,pid_yawPos_kp,pid_yawPos_ki,pid_yawPos_kd,pid_xyVel_kp,pid_xyVel_ki,pid_xyVel_kd,pid_zVel_kp,pid_zVel_ki,pid_zVel_kd,pid_roll_kp,pid_roll_ki,pid_roll_kd,pid_pitch_kp,pid_pitch_ki,pid_pitch_kd,pid_yawRate_kp,pid_yawRate_ki,pid_yawRate_kd,serial_connected,serial_send_enabled,serial_send_ok,serial_payload_seq,serial_payload_size_bytes,bridge_serial_frames_rx,bridge_espnow_tx_attempts,bridge_espnow_tx_ok,bridge_espnow_tx_fail,bridge_oversize_drops,bridge_tx_rate_hz,bridge_last_tx_seq,bridge_last_tx_latency_us,controller_rx_packets,controller_rx_missing_packets,controller_rx_duplicate_packets,controller_rx_out_of_order_packets,controller_last_rx_seq,controller_loop_hz,controller_control_hz,controller_command_age_ms,controller_apply_latency_us,controller_motor_imbalance,motor_1_output,motor_2_output,motor_3_output,motor_4_output
2026-04-27T18:48:17.812,0.015,1,0.10,0.30,0.00,0.00,1,0.0066,0.0895,0.1798,0.0000,0.0000,0.0000,-5.07,0.00,56.92,59.70,1,1,1.00000,1.00000,1.00000,1.00000,3,3,1,22.25282,0.00253,1.05420,-0.0066,-0.0895,0.0702,0.0000,0.0000,0.0000,5.07,-9.08,178.92,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,1,231,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.832,0.035,1,0.10,0.30,0.00,0.00,1,0.0066,0.0895,0.1797,0.0000,0.0000,0.0000,-5.06,-0.51,61.98,54.38,2,2,1.00000,1.00000,1.00000,1.00000,3,3,1,22.28230,0.00255,1.05485,-0.0066,-0.0895,0.0703,0.0000,0.0000,0.0000,5.06,-9.00,178.98,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,2,228,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.847,0.050,1,0.10,0.30,0.00,0.00,1,0.0066,0.0897,0.1796,0.0000,0.0000,0.0000,-5.08,1.33,53.33,60.85,3,3,1.00000,1.00000,1.00000,1.00000,3,3,1,22.26357,0.00261,1.05353,-0.0066,-0.0897,0.0704,0.0000,0.0000,0.0000,5.08,-8.97,179.11,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,3,230,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.861,0.065,1,0.10,0.30,0.00,0.00,1,0.0065,0.0896,0.1796,0.0000,0.0000,0.0000,-5.12,2.73,64.95,64.33,4,4,1.00000,1.00000,1.00000,1.00000,3,3,1,22.30772,0.00258,1.05437,-0.0065,-0.0896,0.0704,0.0000,0.0000,0.0000,5.12,-8.94,179.04,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,4,230,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.881,0.084,1,0.10,0.30,0.00,0.00,1,0.0065,0.0896,0.1796,0.0000,0.0000,0.0000,-5.14,1.09,58.40,57.86,5,5,1.00000,1.00000,1.00000,1.00000,3,3,1,22.29211,0.00258,1.05306,-0.0065,-0.0896,0.0704,0.0000,0.0000,0.0000,5.14,-8.92,179.14,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,5,230,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.897,0.100,1,0.10,0.30,0.00,0.00,1,0.0065,0.0896,0.1797,0.0000,0.0000,0.0000,-5.10,-2.46,58.56,58.24,6,6,1.00000,1.00000,1.00000,1.00000,3,3,1,22.26676,0.00264,1.05282,-0.0065,-0.0896,0.0703,0.0000,0.0000,0.0000,5.10,-8.99,179.10,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,6,228,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.912,0.116,1,0.10,0.30,0.00,0.00,1,0.0066,0.0896,0.1797,0.0000,0.0000,0.0000,-5.08,-1.22,62.97,63.80,7,7,1.00000,1.00000,1.00000,1.00000,3,3,1,22.27668,0.00262,1.05465,-0.0066,-0.0896,0.0703,0.0000,0.0000,0.0000,5.08,-8.99,179.09,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,7,230,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.931,0.134,1,0.10,0.30,0.00,0.00,1,0.0064,0.0895,0.1797,0.0000,0.0000,0.0000,-5.12,2.27,69.88,56.91,8,8,1.00000,1.00000,1.00000,1.00000,3,3,1,22.28493,0.00253,1.05239,-0.0064,-0.0895,0.0703,0.0000,0.0000,0.0000,5.12,-8.87,179.06,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,8,231,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.948,0.151,1,0.10,0.30,0.00,0.00,1,0.0066,0.0896,0.1800,0.0000,0.0000,-0.0101,-5.10,-1.19,48.49,59.99,9,9,1.00000,1.00000,1.00000,1.00000,3,3,1,22.27786,0.00261,1.05157,-0.0066,-0.0896,0.0700,0.0000,0.0000,-0.0101,5.10,-9.13,179.23,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,9,233,517775,517775,307331,210444,0,60.00,8042,3103,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
2026-04-27T18:48:17.964,0.167,1,0.10,0.30,0.00,0.00,1,0.0066,0.0896,0.1798,0.0000,0.0000,0.0000,-5.09,-0.62,63.49,62.08,10,10,1.00000,1.00000,1.00000,1.00000,3,3,1,22.27181,0.00254,1.05447,-0.0066,-0.0896,0.0702,0.0000,0.0000,0.0000,5.09,-9.04,179.12,1,1,0.0000,0.0000,0.2500,0.00,0.8500,0.3500,0.9200,6.00,180.00,0.850000,0.000000,0.000000,1.100000,0.000000,0.000000,1.200000,0.000000,0.000000,1.350000,0.000000,0.000000,0.850000,0.020000,0.000000,0.008000,0.000000,0.000600,0.008000,0.000000,0.000600,0.006000,0.000000,0.000000,1,1,1,10,230,517835,517835,307391,210444,0,60.00,8102,3086,0,0,0,0,0,0.00,0.00,0,0,0.0000,0.0000,0.0000,0.0000,0.0000
